2022-11-22 00:09:12,312 INFO    MainThread:44999 [wandb_setup.py:_flush():68] Configure stats pid to 44999
2022-11-22 00:09:12,313 INFO    MainThread:44999 [wandb_setup.py:_flush():68] Loading settings from /Users/ruiyugou/.config/wandb/settings
2022-11-22 00:09:12,313 INFO    MainThread:44999 [wandb_setup.py:_flush():68] Loading settings from /Users/ruiyugou/Documents/MSc/projects/NERL/wandb/settings
2022-11-22 00:09:12,313 INFO    MainThread:44999 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-22 00:09:12,313 INFO    MainThread:44999 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'testFair.py', 'program': '/Users/ruiyugou/Documents/MSc/projects/NERL/testFair.py'}
2022-11-22 00:09:12,313 INFO    MainThread:44999 [wandb_init.py:_log_setup():476] Logging user logs to /Users/ruiyugou/Documents/MSc/projects/NERL/wandb/run-20221122_000912-3usrz2pg/logs/debug.log
2022-11-22 00:09:12,313 INFO    MainThread:44999 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/ruiyugou/Documents/MSc/projects/NERL/wandb/run-20221122_000912-3usrz2pg/logs/debug-internal.log
2022-11-22 00:09:12,314 INFO    MainThread:44999 [wandb_init.py:init():516] calling init triggers
2022-11-22 00:09:12,314 INFO    MainThread:44999 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'expr_name': 'test', 'agent_acceleration': 4.0, 'predator_acceleration': 2.0, 'eval_num_episodes': 100}
2022-11-22 00:09:12,314 INFO    MainThread:44999 [wandb_init.py:init():569] starting backend
2022-11-22 00:09:12,314 INFO    MainThread:44999 [wandb_init.py:init():573] setting up manager
2022-11-22 00:09:12,320 INFO    MainThread:44999 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-11-22 00:09:12,325 INFO    MainThread:44999 [wandb_init.py:init():580] backend started and connected
2022-11-22 00:09:12,330 INFO    MainThread:44999 [wandb_init.py:init():658] updated telemetry
2022-11-22 00:09:12,351 INFO    MainThread:44999 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-22 00:09:12,981 INFO    MainThread:44999 [wandb_run.py:_on_init():2000] communicating current version
2022-11-22 00:09:13,084 INFO    MainThread:44999 [wandb_run.py:_on_init():2004] got version response 
2022-11-22 00:09:13,084 INFO    MainThread:44999 [wandb_init.py:init():728] starting run threads in backend
2022-11-22 00:09:13,165 INFO    MainThread:44999 [wandb_run.py:_console_start():1980] atexit reg
2022-11-22 00:09:13,165 INFO    MainThread:44999 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-22 00:09:13,166 INFO    MainThread:44999 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-22 00:09:13,166 INFO    MainThread:44999 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-22 00:09:13,166 INFO    MainThread:44999 [wandb_init.py:init():765] run started, returning control to user process
2022-11-22 00:09:18,463 WARNING MsgRouterThr:44999 [router.py:message_loop():77] message_loop has been closed
